context_id	context
11	Gleichwohl erachteten die in der ALLBUS 2008 Befragten die Demokratie ganz überwiegend als eine gute Idee: 88,6 % von ihnen waren ziemlich bzw. sehr dafür. Eine Diktatur wurde hingegen – sozusagen spiegelbildlich – von 83,5% der Befragten, d. h in hohem Maße, abgelehnt; sie fanden, dass eine Diktatur auch manchmal nicht besser als eine Demokratie sei. In Bezug auf die Konzeption des Sozialismus waren im Jahre 2000 56,8 % und 2006 52,5 % der bundesdeutschen Bevölkerung der Meinung, dass er eine gute Idee mit allerdings schlechter Ausführung (gewesen) sei.
12	Ziel des Artikels ist, subjektbezogene Arbeitsorientierungen aus theoretischer und empirischer Perspektive einer kritischen Reflexion zu unterziehen.  In der Arbeits- und Industriesoziologie hat sich in den vergangenen zwanzig Jahren die These der normativen Subjektivierung von Arbeit als subjektive Hälfte eines Wandlungsprozesses diskursiv verfestigt.  Dem Anspruch, sich in der Arbeit selbst zu verwirklichen, wird ein emanzipatorischer Gehalt unterstellt, da er auf mehr Autonomie von arbeitsgesellschaftlichen Zwängen ziele.  Der Annahme wird widersprochen.  Hintergrund der These der normativen Subjektivierung waren jugend- und sozialisationstheoretische Annahmen.  Ihnen wird die sozialstrukturelle These einer Distinktionsfunktion der Selbstverwirklichung gegenübergestellt.  In einer multivariaten Analyse repräsentativer Daten des ALLBUS 1991 und 2010 zeigt sich, dass normative Subjektivierung von Arbeit weder ein Jugendphänomen noch unabhängig von sozialer Herkunft ist.  Selbstbezogene Arbeitsorientierungen tauchen empirisch weniger bei jungen Aufstrebenden als bei älteren Arrivierten auf und können habitustheoretisch als Teil einer distinktiven Begriffstopologie, die soziale Ungleichheit reproduziert, dechiffriert werden. 
13	Da unsere theoretische Auseinandersetzung auf die subjektbezogene Arbeitsorientierung ausgelegt ist, stellt diese die abhängige Variable der Analyse dar.  Die Faktoren haben ein arithmetisches Mittel von 0 und eine Standardabweichung von 1.  Zur Überprüfung der Adoleszenzhypothese ist das Alter der entscheidende Indikator des Modells.  Es teilt sich in fünf Kategorien auf, wobei die ‚18- bis 29-Jährigen‘ hier als adoleszent angenommen werden.  Die Distinktionshypothesen beziehen sich auf unterschiedliche Kapitalsorten.  Das ökonomische Kapital der Befragten wird in dieser Studie über das Haushaltsnetto-Äquivalenzeinkommen erfasst. Da ein einfaches Nettoeinkommen häufig keine Auskunft über die tatsächlichen finanziellen Ressourcen einer Person gibt und die Größe sowie die Zusammensetzung eines Haushaltes auf diesem Wege Berücksichtigung finden, bietet sich die Operationalisierung über die OECD-Skala an (Butterwegge 2010).  Die Variable wurde in drei Einkommensniveaus kategorisiert  Das unterste Quartil bildet die Gruppe mit ‚geringem Äquivalenzeinkommen' ab.  Das ‚mittlere Äquivalenzeinkommen‘ beinhaltet die Befragten der beiden mittleren Quartile.  Die „oberen 25 Prozent“ stellen die dritte Kategorie dar – das ‚hohe Äquivalenzeinkommen‘.  Das institutionalisierte kulturelle Kapital wird über den schulischen Bildungsabschluss operationalisiert  Die Ausprägungen sind ‚ohne Abschluss/Volks- und Hauptschulabschluss‘, ‚Mittlere Reife‘, ‚Fach- oder Hochschulreife‘ Im Gegensatz zum ökonomischen Kapital bildet diese Variable auch die wichtigste Kapitalform in Bourdieus Theoriensystem ab: das symbolische/legitimatorische Kapital.  Zudem kann angenommen werden, dass der Bildungsabschluss zumindest indirekt auf inkorporiertes Kulturkapital verweist.
14	"Globalisierungsprozesse verschärfen alte und schaffen neue Ungleichheiten. Sie schaffen aber auch neue Möglichkeiten und Chancen. Fundamental für beide Aspekte ist di Entwicklung der Informationstechnologie und ihrer Anwendung im Internet.  Ungleichheiten beziehen sich in dieser technologisch-ökonomischen Dimension von Globalisierung vor allem auf die Möglichkeiten des Umganges mit und des Zuganges zu dieser Technologie.  Der Umgang mit Informations- und Kommunikationstechnologie verleiht Mobilität im weitesten Sinne und damit - wie Kriesi es ausdrückt - ""individuelle Austritts-Optionen"" (Kriesi 2000: 9).  Dabei ist es nicht einmal nötig, dass sich physikalische Körper wirklich - wie es der landläufige Begriff von Mobilität nahelegen würde - in Raum und Zeit bewegen.  Diese technologische Mobilität verfügt vom Schreibtischstuhl aus über eine virtuelle globale Reichweite.  Zygmunt Baumans ""Touristen"" sind in diesem Sinne, nicht im wörtlichen Sinn zu verstehen (vgl. Baumann 1998: 77-102).  Diese Mobilität nun kann als ein neues, soziale Ungleichheit strukturierendes Merkmal betrachtet werden (Baumann 1998: 9), denn Mobilität ist ausschlaggebend für die Zugehörigkeit zu Globalisierungs""gewinnern"" oder Globalisierungs""verlierern"" (Kriesi), für die Zugehörigkeit zu den ""Touristen"" oder den ""Vagabunden"" (Baumann) bzw. zu den ""Flexiblen"" oder den ""Unflexiblen"" (wie Richard Sennett die Gruppen benennen würde - vgl. Sennett 2000). "
15	"Die Daten zeigen, dass Informationstechnologie durchaus 'auf dem Vormarsch' ist, sie deuten aber auch die von Buffoni erwähnten strukturellen Ungleichheiten an.  Die Frage ist, inwieweit dies als Problem gesehen wird. Hierzu findet man im Kapitel über den Lebensstandard die Aussage, dass die Befragten unter 22 Items nur den Besitz eines Computers mehrheitlich (54%) für ""verzichtbar"" halten (Stat. Bundesamt 1999:455f.).  Neben der grundsätzlichen Verfügung über einen Computer im Haushalt wird im Datenreport 1994 nach der Beschäftigung mit solch einem Gerät in der Freizeit gefragt.  Das Ergebnis ist sehr eindeutig, mehr als 70% der Befragten beschäftigen sich in ihrer Freizeit ""nie"" mit einem Computer und nur knapp über 10% ""oft"" (Stat. Bundesamt 1994: 533).  Fünf Jahre später und nach einer Verdoppelung der Anzahl der in Privathaushalten verfügbaren Computer (s.o.) ändert sich an diesem Verhältnis nur wenig.  Der Allbus 1998 verwendet ebenfalls eine Fragenbatterie ""Freizeitaktivitäten"" mit den Items ""Beschäftigung mit dem Computer"" und ""Nutzung von Internet oder Onlinediensten"".  Mit dem PC beschäftigen sich 66% der Befragten ""nie"" (täglich: 12,4% und mindestens 1x pro Woche: 9%) und das Surfen im Internet ist 86% der Nennungen auf die Kategorie ""nie"" noch weniger verbreitet (täglich: 2,7% und mindestens 1x pro Woche: 4,5%). Zusammen mit dem o.g. Ergebnis, dass die stärkste Gruppe von PC-Besitzern Selbstständige sind, scheint sich abzuzeichnen, dass PC und Internet in der Bundesrepublik Deutschland 'ernste' Angelegenheiten sind, die ihren Verbreitungsgrad durch und über die Arbeitswelt erhalten, kaum aber als Freizeitaktivität in Frage kommen.  Bestätigt, aber auch weiter ausdifferenziert, wird dieser Befund durch das ""Sozio-oekonomische Panel"" (SOEP).  Hier sind es 67% der Befragten, die sich ""nie"" mit dem PC beschäftigen, wobei sich eine starke Altersabhängigkeit bei denjenigen 20% abzeichnet, die ""regelmäßig"" einen Teil ihrer Freizeit am PC verbringen.  Sind es bei den 16 bis 19-jährigen 38%, so fällt dieser Anteil bei den 65-jährigen und älteren auf 3%.  Ähnlich bei der Internet-Nutzung: 82% surfen ""nie"", 11% hingegen ""regelmäßig"". Von letzteren sind die 16- bis 19-jährigen mit 23% die stärkste Gruppe und nur 1% der 65-jährigen und älteren nuten das Internet (vgl. für alle Angaben: Frankfurter Rundschau v.20.10.2000, S.9).  Ebenso wie diesen Alterseffekt bestätigen die SOEP-Daten auch die von Buffoni genannten Abhängigkeiten von materiellen und kulturellen Ressourcen.  Der PC-Besitz ist überrepräsentiert bei wohlhabenden (mehr als 150% des Durchschnittseinkommens) Haushalten (52%), die PC-Nutzung bei Abiturienten (42%) genauso wie die Internetnutzung (20%). "
16	"Verschiedenste Umfragen bringen immer wieder ein Ergebnis hervor, für das bisher noch keine eindeutige Erklärung vorliegt Personen beurteilen ihre persönliche wirtschaftliche Lage viel günstiger als die allgemeine wirtschaftliche Lage. Neben dieser Diskrepanz ist auch der unterschiedliche Verlauf beider Einschätzungen über Jahre hinweg auffällig. Während die eigene wirtschaftliche Lage immer von einem ähnlich hohen Anteil der Bevölkerung positiv eingeschätzt wird, folgt die Einschätzung der allgemeinen wirtschaftlichen Lage in etwa den objektiven Konjunkturverlaufen Die Beurteilung der eigenen wirtschaftlichen Lage bleibt davon unberührt. Wie die unterschiedliche Beurteilung von auf den ersten Blick verwandten Sachverhalten geklärt werden kann, und warum die Umfrageergebnisse z.B. nicht mit der weit verbreiteten Meinung, wir hatten ""immer weniger im Portemonnaie"" übereinstimmen, analysiert eine im Jahre 1997/1998 in Frankfurt durchgeführte empirische Studie Die Studienergebnisse dokumentieren, dass beide Beurteilungen Resultat unterschiedlicher Wahrnehmungsquellen sind. Die direkte Reahtatserfahrung und die indirekte Reahtatserfahrung. "
17	"Subjektive Wahrnehmung von Wirtschaftslagen  Einschätzungen bezüglich wirtschaftlicher Lagen weichen stark voneinander ab, je nachdem ob eine Person über sich selbst oder über die Allgemeinheit Auskunft geben soll. Nachfolgende Graphik verdeutlicht die Diskrepanz zwischen den positiven Beurteilungen (sehr gut/gut) bei den Fragen „Wie beurteilen Sie ganz allgemein die heutige wirtschaftliche Lage in Deutschland?"" und „Wie beurteilen Sie Ihre eigene wirtschaftliche Lage heute?""  Es wird deutlich, dass die Einschätzung der eigenen wirtschaftlichen Situation mehrheitlich positiv gefärbt ist und zudem noch über die Jahre hinweg einen relativ konstanten Verlauf zeichnet.  Der Anteil positiver Beurteilungen der allgemeinen wirtschaftlichen Lage hingegen schwankt von Jahr zu Jahr und fällt zudem, abgesehen von den Jahren kurz nach der Wiedervereinigung Deutschlands, wesentlich niedriger aus als der Anteil positiver Beurteilungen der eigenen wirtschaftlichen Lage."
18	Ein weiteres interessantes Ergebnis wurde hinsichtlich den demographischen Variablen Einkommen und Alter deutlich. Diese Variablen beeinflussen die Beurteilung der allgemeinen wirtschaftlichen Lage signifikant, jedoch schwächer, als man vielleicht vermuten konnte. Je höher das Einkommen, desto besser fallen Beurteilungen der allgemeinen wirtschaftlichen Lage aus. Des weiteren beurteilen Personen mit geringem politischen Interesse die allgemeinwirtschaftliche Situation eher schlecht.  An dieser Stelle wird ein interessanter Sachverhalt deutlich: Der Effekt, der durch ein hohes politisches Informationsniveau einer Person hervorgerufen wird, ist zwar starker, geht jedoch in dieselbe Richtung wie der Effekt, der durch politisches Desinteresse hervorgerufen wird  Beide Effekte verursachen eine negative Beurteilung der allgemeinen wirtschaftlichen Lage 
19	"In der Analyse konnte diesbezüglich signifikant für alle untersuchten Zeitpunkte ein starker Effekt auf die Beurteilung der allgemeinen wirtschaftlichen Lage nachgewiesen werden.  Eine positive Einstellung zur Regierungspartei begünstigt eine gute Beurteilung der allgemeinen wirtschaftlichen Lage.  Mit den 4 ausgewählten Zeitpunkten (1982, 1986, 1991, 1996) fließen 3 „CDU-regierte"" Zeitpunkte und 1 „SPD-regiertes"" Jahr in die Analyse ein. Der Effekt ist stets eindeutig 1982 beurteilten SPD-Anhänger die allgemeine wirtschaftliche Situation besser als Anhänger anderer Parteien, 1986, 1991 und 1996 taten dies die CDU-Anhänger. "
20	"Subjektive Schichteinordnung  Ordnet sich eine Person nicht mehr der Unterschicht, sondern der Mittelschicht zu, erhöht sich die Wahrscheinlichkeit, dass diese Person ihre eigene wirtschaftliche Lage gut und die allgemeine wirtschaftliche Lage schlechter beurteilt, um 9,5 Prozentpunkte (0,095), also von 40% auf 49,5%. Als pessimistisch wurde der Personenkreis bezeichnet, der nachfolgende Meinung vertritt „Egal was manche Leute sagen Die Situation der einfachen Leute wird nicht besser, sondern schlechter"" und „So wie die Zukunft aussieht, kann man es kaum noch verantworten, Kinder auf die Welt zu bringen"""
21	Die Metaanalyse ist eine Methode der quantitativen Zusammenfassung von Forschungsergebnissen verschiedener Studien und wird bislang vorwiegend in experimentell orientierten Wissenschaften eingesetzt. Ein Hauptproblem der Metaanalyse in der Soziologie liegt darin, dass soziologische Analysen selten ein experimentelles Design mit Randomisierung verfolgen, das den Einfluss nicht interessierender Faktoren unterbinden würde. Der Beitrag diskutiert die Anwendbarkeit von Metaanalysen in der Soziologie und wirbt für die Metaanalyse mit Originaldaten. Es werden drei Anwendungsbeispiele dieses Verfahrens aus dem Bereich der Scheidungsforschung gegeben. Metaanalysen mit Originaldaten bieten insbesondere den Vorteil, für den Vergleich verschiedener Studien einheitliche Modellspezifikationen und Auswertungskonzepte verwenden zu können, und eine Reihe weiterer Vorzüge. Nachteile des Ansatzes liegen im Aufwand der Harmonisierung von Datensätzen sowie in der Beschränkung verwendbarer Variablen und der theoretisch abbildbaren Prozesse.
22	Dies gilt auch für die Mannheimer Scheidungsstudie, die allerdings nur Erstehen enthält. Im ALLBUS ist das Trennungsjahr nicht erfasst, in der Teilstichprobe LV1 der Lebensverlaufsstudie nur in bestimmten Fällen. Für die Ehen aus dem ALLBUS und aus LV1 wird das Ende der Ehe deshalb aus dem Scheidungsjahr minus 1 erschlossen, da Scheidungen in der Regel um ein Jahr verzögert auf Trennungen folgen (vgl. hierzu ausführlich Rapp 2013: 74 f.). Schließlich liegen in allen Studien außer dem GGS Informationen zum Verwitwungsjahr vor, das als Zensierungszeitpunkt behandelt wurde. Als unabhängige Variable werden das Heiratsjahr (metrisch), die Ordnungsnummer der Ehe als erste Ehe oder als Folgeehe (als Dummy-Variable), das Heiratsalter (metrisch) und der Altersabstand der Ehepartner (über ein Set von Dummy-Variablen) berücksichtigt. Das Heiratsjahr wurde in allen fünf Studien erfragt. Für alle Ehen liegen ebenfalls Informationen darüber vor, ob es sich um eine Erstehe handelt oder um eine Folgeehe, bei der ein oder beide Partner früher schon einmal verheiratet waren. Bei den Ehen aus dem ALLBUS, aus dem GGS und aus der Lebensverlaufsstudie bezieht sich diese Information nur auf die Befragungsperson. Für den anderen Ehepartner ist hier unbekannt, ob dieser früher schon einmal verheiratet war. Bei den Ehen aus der Mannheimer Scheidungsstudie handelt es sich generell um die erste Ehe der Befragungsperson. Im Unterschied zu den zuvor genannten Studien ist aber bekannt, ob der Ehepartner früher schon einmal verheiratet war. Ist dies der Fall, wird die Ehe als Folgeehe gekennzeichnet. Für die Ehen aus dem SOEP liegen in der Regel für beide Partner Informationen darüber vor, ob sie früher schon einmal verheiratet waren. Schließlich ist in allen fünf Studien das Heiratsalter der Befragungsperson bekannt, das sich in allen Studien aus dem Heiratsjahr und aus dem Geburtsjahr der Befragungsperson erschließt. Zum Altersabstand liegen hingegen nur für die Ehen aus dem GGS, aus der Teilstichprobe LV2 der Lebensverlaufsstudie, aus der Mannheimer Scheidungsstudie und aus dem SOEP verwertbare Informationen vor.
