doc_id	text	is_variable	variable	uuid
NEGGBA	Die Aufstiegskriterien wurden unter Verwendung einer Skala erfasst, die zuletzt im ALLBUS 2004 eingesetzt wurde.	0	No	584767eb-b542-4613-a48e-e4c9bf89885a
FAGECO	Die erste Komponente , die Präferenz, wird im CUB-Modell mit einer Binomialverteilung modelliert. 	0	No	cb9197c4-b8a1-452d-a8c3-1e85aa62cf74
HBNVVBM	Zudem bewerten gewerkschaftlich Organisierte soziale Unterschiede kritischer. 	0	No	9d170931-7f8f-4fd2-9df3-bdd223d030ce
ALJCOL	"Der Allbus 1998 verwendet ebenfalls eine Fragenbatterie ""Freizeitaktivitäten"" mit den Items ""Beschäftigung mit dem Computer"" und ""Nutzung von Internet oder Onlinediensten"". "	1	441-Yes,442-Yes,481-No,463-No,464-No	52137aed-5fe4-4a05-a20c-200ab97e336b
HN55EX	 Hinzu kommt die stets strittige Frage, was Sozialpolitik, ja Politik überhaupt und wem gegenüber verändern kann.	0	No	dced5ada-83db-4ebb-80f4-2a2b966cdb16
RSM5HH-LPKUTF	 Von den Werten her signalisiert dies allerdings eine (leicht) fallende Zustimmungstendenz. 	0	No	0d441c8c-6f29-4951-9fea-0a02d01fdc68
HMWVUJ	Laut ALLBUS 2008 sind rund ein Drittel aller Bundesbürger bereit, sich an einer Bürgerinitiative zu beteiligen oder an einer genehmigten Demonstration teilzunehmen, um in einer politischen Sachfrage, die ihnen wichtig ist, Einfluss zu nehmen und den eigenen Standpunkt zur Geltung zu bringen.	1	61-Yes,69-Yes,72-No	55ea054c-dc59-4fae-929b-46759af80bae
8LVAT7	 Ob mit der „gefühlten“ Zugehörigkeit zu unterschiedlichen sozialen Schichten möglicherweise auch Verhaltensunterschiede verbunden sind, wurde exemplarisch anhand der Häufigkeit und Dauer des Fernsehens untersucht, Verhaltensgewohnheiten, die verschiedentlich mit der Schichtzugehörigkeit in Zusammenhang gebracht worden sind. 	1	481-Yes,482-Yes,493-No,494-No	3509c90f-2fc5-45e7-8c34-513f4af43fcc
YZTDWQ	Dieses Phänomen hat viel Aufmerksamkeit gefunden und teils zur Erwartung einer rapiden Ausbreitung moderner Individualisierungsprozesse geführt. 	0	No	2079dda8-8775-4557-9b5d-e3f3ceac2903
ACGAHQ	Da unsere theoretische Auseinandersetzung auf die subjektbezogene Arbeitsorientierung ausgelegt ist, stellt diese die abhängige Variable der Analyse dar. 	0	No	9e402e08-c27f-4fe4-b1ca-9f95977c3f13
HBNVVBM	Eine Auswertung der wirtschaftspolitischen Einstellungen von Arbeitnehmern ergibt, dass Gewerkschaftsmitglieder Staatseingriffe in den Markt positiver sowie die Bildungschancen und die Folgen der Globalisierung negativer einschätzen als Nicht-Organisierte. 	0	No	6faeb3ce-4d67-48d0-893f-a152ea756b7b
RSM5HH-LPKUTF	Gleichwohl erachteten die in der ALLBUS 2008 Befragten die Demokratie ganz überwiegend als eine gute Idee: 88,6 % von ihnen waren ziemlich bzw. sehr dafür.	0	NoSkip	942ad664-87f6-4e66-93b6-582f85585634
UNIXKD	Zu Beginn der 90er Jahre äußerten noch mehr als acht von zehn ostdeutschen Bürgern die Meinung, sie würden „sehr viel oder etwas weniger“ als den ihnen eigentlich zustehenden Anteil erhalten.	0	NoSkip	179eb1c4-5955-47db-8e53-fc9461ba8efd
NEGGBA	Dies ist zum anderen auch damit zu begründen, dass die Schuldner deutlich häufiger davon berichten, aktuell arbeitslos zu sein.	0	No	4ec75a75-bd30-448d-99cb-7fa3846b18c7
WEGIYK	Andererseits lassen sich durchaus bestimmte Trends erkennen und soziologisch erklären.	0	No	0de31d4c-c934-4e65-849b-5e1d3b6ee40e
TOCIUQ	Die Verteilung der Antworten ähnelt auffällig stark Typ D der Gesellschaftsformen.	0	No	ba1c8801-14a9-444e-84a1-c356eb1c936b
715HPH	" Andere, wie der Religionssoziologe Detlef Pollack, ziehen aus empirischen Daten über die Religiosität der Individuen den Schluss, es müsse ""dem weit verbreiteten Bild eines überbordenden allgemeinen religiösen Bedürfnisses widersprochen werden"". "	0	No	0212ab2f-1122-4025-b17b-c8d9fb2467fb
TOCIUQ	Diese optimistische Selbsteinschätzung zeigt sich auch in anderen Studien: In der Studie des Sozio-oekonomischen Panels haben knapp 60 Prozent der Befragten ihren materiellen Lebensstandard als durchschnittlich angegeben.	0	No	0ebeb0fd-c0ee-4f23-9a79-410437672603
RSM5HH-LPKUTF	In Bezug auf die Konzeption des Sozialismus waren im Jahre 2000 56,8 % und 2006 52,5 % der bundesdeutschen Bevölkerung der Meinung, dass er eine gute Idee mit allerdings schlechter Ausführung (gewesen) sei.	1	149-Yes,144-No	e6553939-d913-46cc-b5bd-038105bc49e0
RSDCYN	Die allgemeine Lebenszufriedenheit der Individuen war eine jener Alternativen, die in den letzten Jahren wieder häufig genannt und diskutiert wurden	0	No	56f8a0a9-0183-4690-9726-a931b0103de4
GZKVIZ	Die TeilnehmerInnen wurden dazu aufgefordert, eine Internetadresse aufzurufen und – nach Eingabe eines Sicherheitscodes – einen Fragebogen auszufüllen.	0	No	832201d8-1e83-4fed-843f-a7a626fa7ade
NEGGBA	Etwas geringer ist die Zustimmung zur Aussage, dass man es kaum noch verantworten kann, Kinder in die Welt zu bringen.	1	685-Yes,686-No	1948953f-20ae-4a51-9e99-58a6b30374f6
NEGGBA	Nur 6,2 % der Schuldner, aber 11,8 % der Allgemeinbevölkerung gehören einer Gewerkschaft und damit gleichermaßen einer freiwilligen Assoziation mit Transferleistung an.	1	1818-Yes,1819-No	cad38975-debe-4371-b1dc-069e772380fe
TOCIUQ	Rund ein Viertel schätzt seine Situation sogar als eher besser oder sehr viel besser ein.	0	No	bf7e7f28-9622-4b32-bf7c-bcbebffc166c
NEGGBA	Gerade die Beziehungen werden von den Schuldnern als wichtiger eingestuft als von Personen der Allgemeinbevölkerung.	1	193-Yes,197-No	065d73fe-c0b0-40d8-b6f7-804d79481d94
YZTDWQ	Andererseits werden die persönlichen Haltungen von Anhängern und Mitgliedern der Gemeinschaften gegenüber verschiedenen esoterischen Überzeugungen und Praktiken verglichen. 	0	No	8e0116ea-a821-451f-962b-550b904aade9
ACGAHQ	Die „oberen 25 Prozent“ stellen die dritte Kategorie dar – das ‚hohe Äquivalenzeinkommen‘. 	0	NoSkip	a0cd80f3-2785-4ba3-ba98-feacb573e3bf
OEZUSL	In jeder Befragungswelle werden Personen aus einer neuen Stichprobe über ihre Einstellungen, ihre Verhaltensweisen und zur Sozialstruktur befragt.	0	No	a0ec8aa0-d5e4-447a-823c-a2389826831f
TAQKHA	Man kann von einem „Aufzugseffekt” sprechen, bei dem alle Wähler kontinuierlich zu höherer Wahlabstinenz neigen und eine (etwa) gleichmäßige Zunahme in allen Gruppen messbar ist. 	0	No	5121effb-15c9-4d0d-b735-d86e2bd58723
HR5JMA	 Den anderen Aussagen, in denen Ausländern eine gleichberechtigte Teilhabe am gesellschaftlichen Leben abgesprochen wird, stimmen die meisten Befragten eher nicht zu. 	0	No	90e0a579-6bb6-4abb-b9dc-7bf5e6813716
OFMAAV	Aber auch mehr als 20 Jahre später stimmten in Westdeutschland mehr Befragte betont traditionellen Aussagen zu, obwohl heute nur noch eine Minderheit den Aufgabenbereich der Frau vorrangig in Haushalt und Familie sieht.	0	No	fe0a16b3-8124-40e9-8bb6-9e1b509eb230
NBRXEJ	Das Interesse an Politik ist ein guter Gradmesser dafür, ob das politische Geschehen als etwas betrachtet wird, das so wichtig ist, dass man sich darüber informiert und sich gegebenenfalls auch dafür engagiert.	0	No	e35fccb3-58eb-4a79-8987-ddbb75b99fd8
OFMAAV	Diese neigen nicht nur anteilig stärker dazu, Ausländer in Deutschland mit negativen Auswirkungen zu verbinden.	0	No	f2a131c6-734c-4664-911c-f734a6c2a303
ACGAHQ	Die Ausprägungen sind ‚ohne Abschluss/Volks- und Hauptschulabschluss‘, ‚Mittlere Reife‘, ‚Fach- oder Hochschulreife‘	0	No	a104fb4b-6833-4ddf-a4f4-78570cffeb59
OFMAAV	Extremmeinungen gegen Ausländer sind bei Menschen im Westen deutlich schwächer ausgeprägt als bei jenen im Osten.	0	No	a9052a44-3e72-4ea1-b7bb-faed06c3092c
TOCIUQ	Eigentlich ist die wirtschaftliche Situation in Deutschland sehr gut, von den meisten europäischen Nachbarn werden wir jedenfalls beneidet. 	0	No	a915baf4-bd07-4ef8-b5cb-5b21e6eb2e42
LAWXJA	Die Mitgliedschaft in einer Gewerkschaft wurde bis 2002 folgendermaßen abgefragt: „Sind Sie derzeit Mitglied in einer Gewerkschaft?“	1	1818-Yes,1819-No	0cda735b-6dbe-4632-a090-7c73df3e5079
JEWJU2	 Schließlich haben ältere Menschen ein größeres Interesse an religiösen Themen (Intellektuelle Dimension). 	0	No	fc746199-5852-4bcb-ae8d-bb3a98a56b3f
OEZUSL	Im Jahr 2000 waren 19,4 Prozent der Arbeitnehmer gewerkschaftlich organisiert, im Jahr 2010 waren es 17,4 Prozent.	1	1818-Yes,1831-No	411eb65d-2bb7-428c-b396-76a2b385eab7
LAWXJA	Damit lässt die Befragung keine Unterscheidung nach einzelnen Gewerkschaften zu.	0	No	3ccc5b42-666c-477e-a7cc-a1fc019ae3be
TOCIUQ	Auch die Entwicklung der Ungleichheit lässt nach einem Anstieg um die Jahrtausendwende wieder optimistisch in die Zukunft blicken.	0	No	484d60f3-0cd0-43bf-a328-7df578aa2006
GQZEMC	Nun wäre zu erwarten, dass bei intergenerationaler Mobilität, Väter mit Söhnen und Mütter mit Töchtern zu vergleichen sind.	0	No	5518aea1-9c4f-433d-87a7-822bd5908824
CCDOYV	Diese Frage erhebt direkt sozialpolitische Veränderungswünsche, ist aber diffus in Bezug auf Politikfeld und Empfängerkategorien.	0	No	61901488-6aae-4cfd-a70f-aebaff306974
OFMAAV	Viel entscheidender ist, ob die Menschen das Gefühl haben, gerecht behandelt zu werden.	0	No	f31191e6-1e26-4d9e-9f5a-e06e596dd3a0
UNIXKD	In Westdeutschland dagegen lag der entsprechende Anteil bei lediglich 35 Prozent (Abbildung 7).	0	NoSkip	afd5a957-b492-4143-b2f5-3ade466db52a
YZTDWQ	Die Haltung der Befragten gegenüber Esoterik im o.g. alltagssprachlichen Sinn wurde mit den in der ALLBUS-Umfrage 2002 verwendeten Fragen zu „Außerchristlicher Religiosität/Paraglaube/Aberglaube“ erfasst.	0	No	e286f9a1-4e48-4631-9d24-8274fa7560ad
ACGAHQ	Die Distinktionshypothesen beziehen sich auf unterschiedliche Kapitalsorten. 	0	No	b18d7849-b1ee-4526-ad62-1717d421fdc9
715HPH	 Nach Angaben der Europäischen Wertestudie von 1990 und Daten aus dem VW-Projekt „Church and Religion in an Enlarged Europe“ (Lehrstuhl Pollack, Viadrina-Universität, Frankfurt/Oder) hat sich in Westdeutschland der Anteil der Menschen, die an einen persönlichen Gott glauben, von 24 Prozent (1990) auf 28 Prozent 2006 erhöht, während er in Ostdeutschland von 17 auf 14 Prozent zurückging. 	0	No	06f46504-40bf-4379-86d4-baa7c8b031f1
GCXAVY	Für die Ehen aus dem ALLBUS und aus LV1 wird das Ende der Ehe deshalb aus dem Scheidungsjahr minus 1 erschlossen, da Scheidungen in der Regel um ein Jahr verzögert auf Trennungen folgen (vgl. hierzu ausführlich Rapp 2013: 74 f.).	1	964-Yes,965-No	f90a371e-f6ee-4990-aa10-49c9e6baefa9
HBNVVBM	Werden die Ausbildungsmöglichkeiten schon im Durchschnitt der Arbeitnehmer skeptisch beurteilt, fällt das Votum der Organisierten deutlich schlechter aus.	0	No	6a8f18b2-e4ec-4935-8e5e-f73e53105fcc
GQZEMC	Für die Variable Bildung wird der Indikator „höchster erreichter Bildungsabschluss“ verwendet.	0	No	425b2328-15a5-4271-a941-d506bc50f5f9
JEWJU2	In fünf der sechs Dimensionen der Religiosität finden sich höhere Intensitäts-Werte bei den älteren als bei den jüngeren Vergleichsgruppen, die die bereits aufgeführten Ergebnisse bestätigen: Der Kirchgang als Teil der öffentlichen religiösen Praxis findet sich bei den über 60-Jähirgen der Befragten deutlich häufiger als bei den jüngeren Kohorten, ebenso das persönliche Gebet als Teil der privaten religiösen Praxis. 	1	735-Yes,732-No,734-No,736-No,737-No	8b2f2de5-1e56-47f6-82c9-a5df30d28bde
TAQKHA	Nichtwähler unterscheiden sich deutlich von Wählern.	0	No	ac737a18-7d9d-4eed-b76d-0935bc5dd513
ALJCOL	Dabei ist es nicht einmal nötig, dass sich physikalische Körper wirklich - wie es der landläufige Begriff von Mobilität nahelegen würde - in Raum und Zeit bewegen. 	0	No	a127abb4-cfe1-4708-a81e-bd4bc1a8b898
FAGECO	Einer solchen Entscheidung geht ein psychologischer menschlicher Entscheidungsprozess voraus. 	0	No	413e625c-00a5-430d-bb43-bd284a55ebef
UNIXKD	Damit ist die dritte genannte Dimension von Wohlfahrt angesprochen: die „Qualität von Gesellschaft“. 	0	No	a94d579b-8731-4963-8f4e-1bd1dc447cae
FRGYGR	„Sollten die Sozialleistungen in Zukunft ausgeweitet werden?“	1	210-Yes,182-No,184-No,207-No	75d8edf7-4faa-4ef6-b836-86dad7696b98
RSM5HH-LPKUTF	 Korrespondierend damit, wurde die Verteilung des Wohlstands in Deutschland in den Wohlfahrts-/Sozialstaatssurveys 1998 von 75,0 %, 2005 von 77,8 %, 2006 von 76,7 %, 2007 von 75,9 % und 2008 – mit einem Höchstwert – von 80,4 % der deutschen Bevölkerung als überhaupt nicht bzw. als eher nicht gerecht eingestuft.	0	No	d5f3f515-5327-49ec-82ac-b10c7b0e0a1a
715HPH	 Hinsichtlich der persönlichen Religiosität zeigt sich als erstes, daß der Glaube an Gott seit Beginn der 90er Jahre geringfügig zugenommen hat. 	0	No	ddf4e53b-2be3-488c-92cf-9061e6334aee
GCXAVY	Es werden drei Anwendungsbeispiele dieses Verfahrens aus dem Bereich der Scheidungsforschung gegeben.	0	No	b6a50298-a92d-4924-84e3-456e905765c3
GQZEMC	Diese Indikatoren setzen sich zusammen aus dem Allgemeinen Schulabschluss, Fachhochschulabschluss und Hochschulabschluss.	1	746-Yes,762-Yes,763-Yes,766-No	7679359c-0fab-4bda-a548-1d8e09e2ec3b
OEZUSL	Beim ALLBUS handelt es sich um eine Befragung der Bevölkerung in der Bundesrepublik Deutschland, die alle zwei Jahre durchgeführt wird. 	0	No	09096344-d990-41e9-81ad-1926d357afc1
LAWXJA	Da in jeder Befragung eine neue Zufallsstichprobe gezogen wird, handelt es sich nicht um ein Panel.	0	No	6596aa87-70ae-4dc4-931a-a42ce04bb5a4
UNIXKD	Auch diese Dimension hat „objektive“ und „subjektive“ Komponenten – objektiv auf der Aggregatebene, auf der zum Beispiel die Kriminalitätsbelastung oder die Lebenserwartung gemessen werden kann, subjektiv auf der individuellen Ebene, wenn individuelle Bewertungen über die soziale Umwelt erhoben werden.	0	No	8d8c5ae7-92ef-447f-8989-1555d6054579
CCDOYV	Wie erwähnt, überlappt sich diese Unterscheidung mit einer Kategorisierung der Qualifikationsspezifität.	0	No	ee6a5dd4-a3ef-4157-b63e-e9997a132231
YYH7G1	 Inwieweit das Leistungsprinzip uneingeschränkt gelten oder sich die Verteilung auch an Bedarfsgesichtspunkten orientieren sollte, wird an der Zustimmung zu der folgenden Aussage gemessen: „Das Einkommen sollte sich nicht allein nach der Leistung des Einzelnen richten. Vielmehr sollte jeder das haben, was er mit seiner Familie für ein anständiges Leben braucht“. 	1	204-Yes,207-No,210-No,213-No	ac9df98d-f0ef-4700-b43a-90ae866fa5ab
BFRLPR	"Nachfolgende Graphik verdeutlicht die Diskrepanz zwischen den positiven Beurteilungen (sehr gut/gut) bei den Fragen „Wie beurteilen Sie ganz allgemein die heutige wirtschaftliche Lage in Deutschland?"" und „Wie beurteilen Sie Ihre eigene wirtschaftliche Lage heute?"" "	1	12-Yes,10-No,11-No	b4f4c908-c2c2-4904-b4fb-bf2b16bd5a22
HBNVVBM	Auch die Bildungschancen werden unterschiedlich beurteilt (Abbildung).	0	No	228376bf-4672-462f-ba4b-519e76f3594d
OFMAAV	„Eine verheiratete Frau sollte auf eine Berufstätigkeit verzichten, wenn es nur eine begrenzte Anzahl von Arbeitsplätzen gibt, und wenn ihr Mann in der Lage ist, für den Unterhalt der Familie zu sorgen.“	1	336-Yes,334-No	2cd850dc-5b6a-41b4-9549-bdb819fb20ab
TOCIUQ	Die Einschätzung der Bundesbürger ist also ziemlich widersprüchlich: Die Menschen vermuten eine ungleiche Gesellschaftsstruktur in Deutschland, ihre eigene Lage aber bewerten sie wesentlich besser.	0	No	baaab538-0d48-43c6-b75d-98f80758b141
NEGGBA	Dies könnte darauf zurückzuführen sein, dass die Schuldner seltener im Erwerbsleben stehen und daher eine Gewerkschaftsmitgliedschaft nicht notwendig ist.	0	No	55e0f3a6-8b29-496b-8940-1e501d7c99e2
OFMAAV	Wachsender Wohlstand allein führt demnach nicht zu größerer allgemeiner Lebenszufriedenheit.	0	No	dd9771ad-59b4-43e8-bb59-0a6b11943ebc
HR5JMA	 Mit Abstand am meisten Zustimmung findet im Jahr 2006 die vergleichsweise gemäßigte Forderung nach »ein bisschen« mehr Lebensstilanpassung der hier lebenden Ausländer, die von einer deutlichen Mehrheit der befragten erwachsenen Deutschen unterstützt wird. 	0	No	aab4f082-d439-441a-9cf9-a10ba9dec94a
HR5JMA	 Am häufigsten – mit 55% im Westen und 24% im Osten – sind Kontakte im Freundes- und Bekanntenkreis. 	0	No	db991f85-d342-442e-a76f-5930fd0a89f3
GZKVIZ	Wie verbreitet waren die Ressentiments, die in Reden, Sprechchören und auf Transparenten hör- und sichtbar waren? 	0	No	fcbe8f06-6a5a-4814-b089-320dbf46e332
TAQKHA	Vor allem ist die Bindung an Parteien bei ihnen schwach ausgeprägt. 	0	No	48fbdd16-04ab-4983-9057-b20d04caab79
RYQOVR	Das Ergebnis dieser Rechnung wird im Folgenden, aufgeteilt nach Parteien und nach Generationen, dargestellt.	0	No	b1d86a56-a718-42fb-9670-0fc41563a9bb
NEGGBA	Hinsichtlich der Mitgliedschaft in politischen Parteien ergibt sich für die Schuldner eine etwas höhere Quote als in der Allgemeinbevölkerung.	1	1831-Yes,1818-No	f70fe22d-d740-4d48-aafb-58638e44e4c7
FAGECO	Als erklärende Variablen werden folgende verwendet:	0	No	196d294c-bfab-475d-8b73-8384797147f5
RSDCYN	Als nächsten Schritt habe ich einige weitere binäre Variablen erstellt, die für die weitere Analyse stets dichotomisiert vorkommen.	0	No	691c5de4-9494-4200-a40d-974243e8456d
GCXAVY	Der Beitrag diskutiert die Anwendbarkeit von Metaanalysen in der Soziologie und wirbt für die Metaanalyse mit Originaldaten.	0	No	45a1f2fb-5446-43b1-a42d-3c82883bb82c
JEWJU2	 Dabei werden gerontologische Perspektiven ebenso berücksichtigt wie religionspsychologische und religionssoziologische Forschung oder handlungsfeldorientierte Arbeiten aus der Seelsorge und Religionspädagogik. 	0	No	ac1d2e12-1144-457e-85a0-cea5708394c9
LAWXJA	Auswertungen der Allgemeinen Bevölkerungsumfrage der Sozialwissenschaften (ALL- BUS) zeigen, dass der Netto-Organisationsgrad der Gewerkschaften zuletzt auf 20,6 Prozent angestiegen ist. 	0	No	b3fc48c9-56fb-426a-ba47-0418de527ebc
TQVSTD	Keine überzeugenden Belege finden sich jedoch für die zweite Annahme – die Vermutung, dass steigende Bildung direkt zu abnehmender Religiosität führe.	0	No	f815a8f8-0a48-4eb6-ba89-9758553028bc
GZKVIZ	Besonders augenfällig ist das hohe Bildungsniveau derjenigen, die sich an der Umfrage beteiligt haben – überwiegend mindestens Realschulabschluss, 35% sogar ein abgeschlossenes Studium.	1	746-Yes,749-Yes,760-No	6985a84c-201c-48a8-b359-ba0bb4fd582e
OFMAAV	Sie lehnen auch deutlich häufiger mögliche positive Auswirkungen ab.	0	No	58fe50a6-4c0a-4beb-a1ee-053c826ca1fa
BFRLPR	Verschiedenste Umfragen bringen immer wieder ein Ergebnis hervor, für das bisher noch keine eindeutige Erklärung vorliegt Personen beurteilen ihre persönliche wirtschaftliche Lage viel günstiger als die allgemeine wirtschaftliche Lage.	0	No	a462e8fe-212f-4511-8200-c6dc2a8b3b8f
GZNGLV	Auch bei der Frage nach der Mitarbeit in einer Bürgerinitiative sind die Ergebnisse ähnlich unterschiedlich (31 Prozent West, 21 Prozent Ost).	1	79-Yes,75-No,78-No	a3c460e6-85a9-4ed3-820e-221d89d2abff
ACGAHQ	Da ein einfaches Nettoeinkommen häufig keine Auskunft über die tatsächlichen finanziellen Ressourcen einer Person gibt und die Größe sowie die Zusammensetzung eines Haushaltes auf diesem Wege Berücksichtigung finden, bietet sich die Operationalisierung über die OECD-Skala an (Butterwegge 2010). 	0	No	de64c79b-c31a-49d2-8328-5cbcacf829f9
GCXAVY	Für den anderen Ehepartner ist hier unbekannt, ob dieser früher schon einmal verheiratet war.	0	No	83654e87-006f-4321-bae6-f26e000a9457
FRGYGR	Eine differenzierte Analyse von Befragungsdaten des Sozio­ökonomischen Panels (SOEP) zeigt, dass Unterschiede sowohl im allgemeinen Politikinteresse als auch bezüglich der aktiven Teilnahme an der Politik in vielen Jahren statistisch nicht nachweisbar sind. 	0	No	54c577a9-3b04-4fa7-a952-1fc142a4ab16
