sentence	is_variable	variable	research_data	doc_id	uuid	lang
Dass (auch) Angehörige europäischer Nationen oder Regionen zu den „in Deutschland lebenden Ausländern“gehören, fällt häufiger den Personen mit einem höheren Schulabschluss ein.	1	exploredata-ZA5254_Varanswer;exploredata-ZA5254_Vareastwest;unk;exploredata-ZA5254_Varcode_9;exploredata-ZA5254_Varregion_9	ZA5254	61162	4c2812e4-facd-44d0-999b-9d351a8cdae7	de
Letzteres Verfahren wird u. a. als „klassisches Random Route“bezeichnet, ersteres auch als „Standard-Random“(Koch 1997: 109) oder „vereinfachtes Random Route“(Schnell 1997: 14).	0			12715	eb4f03a0-9b59-415e-af85-e4126770e8ea	de
Studies of citizens’ perceptions of national level phenomena can be influenced by factors that are external or indirectly related to people's experiences of the phenomenon under study, such as media representation, nature of political discourse, and the national mood in general.	0			61598	947ac50e-9e25-491e-bfd6-300096c1a25f	en
Welches dieser Probleme betrifft Sie und Ihre Familie am meisten?	1	exploredata-ZA5500_Varv17	ZA5500	51971	694d619f-6248-4a2d-948e-4e7981fe4216	de
One of the most prominent accounts within this literature is provided by economists Alberto Alesina and Edward Glaeser’s book Fighting Poverty in the U.S. and Europe.	0			30861	b3eaf52a-0154-4754-985a-5b4d51a9efb4	en
Allerdings „verschwindet“die erwartete Korrelation zwischen ökonomischem Wohlstand und Migrationssaldo oft auf einem kleineren regionalen Niveau (für Deutschland siehe Schlömer/Bucher 2001).	0			34546	267c534f-fd34-4868-a3af-52e365bb4902	de
If we add more cases to the data set, there might be more significant independent variables.	0			61806	7adadcd6-49c0-4e17-8949-976fd181bb3b	en
Die durchschnittliche Wiederbeschäftigungsrate betrug 28%.	0			37769	66c41268-c354-4e0a-8868-7aaeed6a1321	de
Therefore, in Japan, the item on attending religious services was adapted to “visit to a temple or Shinto-shrine” in the WVS and “visit to a place of prayer and devotion” in the ISSP.	1	exploredata-ZA4950_VarV62	ZA4950	61751	2edc93c1-8f7f-4004-8a69-357e29130e1c	en
Problematisch ist in diesem Modell jedoch, dass fast ausschließlich Surveys der Eurobarometer-Serie die „Experten“-Fragestellung verwendet haben (Korrelation zwischen den beiden Variablen ist r > 0, 9), sodass hier die mit Multikollinearität verbundenen Probleme auftauchen können.	0			12715	c934f6f8-1802-4a7c-a986-7b437d1d2b62	de
Since the degree to which markets function as a complement to the state in the provision of services differs between countries, and as contemporary policy developments are characterized by market expansion in this area, it is particularly important to pay more careful attention to citizens’ beliefs about the market in this respect.	0			57506	f80e899a-1d1a-4eeb-8bed-f091a1704fcc	en
Die deutsche Bevölkerung hält nicht die Abstammung, sondern insbesondere die Achtung der Grundwerte und die Anpassung des Lebensstils als relevant für eine Einbürgerung von Migranten.	1	exploredata-ZA5250_Varmn09;exploredata-ZA5250_Varmn19;exploredata-ZA5250_Varmn05;exploredata-ZA5250_Varmn02	ZA5250	51380	c0d15ae2-68e9-441c-9dc8-d7841b5d099e	de
Im Normalfall einer geringen ideologischen Abweichung zwischen Kandidat und Partei und bescheidenen Differenzen in den Valenzwerten, sind die Abweichungen zwischen den beiden Prognosen äußerst gering.	0			56981	049db287-a479-4817-9c43-6bebcc682474	de
Sociologists distinguish two types of definition of religion: Substantive definitions determine religion with respect to the belief in sacred objects, such as supra-natural beings, or the experience of so-called sacred phenomena.	0			61751	da279872-1717-4956-a2fb-6f87b5da3810	en
In terms of benefit, the operational experience with nuclear power plants can help a country create a well-designed emergency response system for nuclear plant accidents [5] (p. 823).	0			61806	1a9baf83-e3d6-4213-84f7-650b74b1e52d	en
Somit stellt sich auch innerhalb Österreichs die Frage, welche Faktoren die Risikowahrnehmung beeinflussen.	1	exploredata-ZA5500_Varv17	ZA5500	51971	feab1d58-ef88-4c5f-9051-7ddfaa05bbee	de
Auf diese Weise wird dafür Rechnung getragen, dass die Surveys in verschiedenen Jahren durchgeführt wurden und die Zielpopulationen sich somit hinsichtlich der Zusammensetzung der Geburtskohorten unterscheiden.	0			12715	bf56b9b3-2824-479d-a6f1-0899577a115c	de
Alle Informationen über Partnerschaft, Zusammenleben mit einem Partner bzw. einer Partnerin und über sein oder ihr Einkommen werden zeitabhängig geschätzt.	0			34546	c711f2d7-31d1-4f97-92cf-3ad4724a6ff8	de
Des einen Freud ist bekanntlich des anderen Leid und so waren die Gewinne der AfD mit Verlusten bei den etablierten Parteien einhergehend.	0			51381	55e2b8e6-2edf-4259-98a0-aba4cba5eb69	de
Die Frage nach der subjektiven Schicht-identifikation wird im Rahmen des ALLBUS seit 1980 regelmäßig gestellt und lautet: „Es wird heute viel über die verschiedenen Bevölkerungsschichten gesprochen.	1	exploredata-ZA4600_VarV120	ZA4600	21642	b4a3469b-9139-4951-b118-403cd369ff2d	de
The age of an employee may negatively influence the probability of ‘never-membership’ for at least two reasons.	1	exploredata-ZA3700_VarV519;exploredata-ZA3700_VarV186;exploredata-ZA3700_VarV517	ZA3700	35933	493e7cc8-b98e-4382-bc6d-e7a25cad6f2f	en
In 2015, the association between arrival countries and the ‘very important’ opinion was statistically significant, with an average of 17.22 pp. (5.39 to 29.05) higher support.	1	exploredata-ZA6644_Varqa1;exploredata-ZA5565_Varqd1	ZA5565;ZA6644	61598	ab41fdff-a120-4201-8261-a19ceac00acd	en
„Über die Aufgaben der Frau in der Familie und bei der Kindererziehung gibt es verschiedene Meinungen.	1	exploredata-ZA4600_VarV114	ZA4600	39445	488ba1dc-fc02-4b40-b16d-dd441e090da0	de
Estimates based on union statistics indicate union density of about 24 percent in 2005, but these data include retired and unemployed members.	0			34392	898ad87e-2e62-4585-ba99-37ceaad2e68b	en
Dieser Aspekt der Wahrnehmung der individuellen Situation auf dem Arbeitsmarkt wird nun ebenfalls in die Betrachtung einbezogen.	1	exploredata-ZA5566_Varqa9	ZA5566	37769	f5e2950a-2804-4f3f-b354-9608ecb766ed	de
The split between Jews and Arabs is much more pronounced than the differences between the two Jewish ethnic groups.	0			19926	18248e50-346b-426a-aae7-39478720812e	en
Für die Analyse des Migrationsverhaltens wurde ein Längsschnittdatensatz erstellt.	0			34546	685930be-721a-4f03-a670-41f284e4f61a	de
Seit 2000 basieren alle ALLBUS-Untersuchungen auf Stichproben aus dem Melderegister.	0			12715	cf2c0f53-76c4-4383-bb73-f864f7ea2aa0	de
Erwerbstätigkeit entwickelte sich zu einem Grundbedürfnis von Frauen.	0			39445	39e38eea-3c8f-4be2-8c00-2536e180cf43	de
Despite these divergent views, scholars neither concede that collective identity is not significant.	0			55534	804a4c85-b6cd-40d0-829c-474a2d40a449	en
Multicultural welfare politics: immigration mostly has no effect on welfare attitudes.	0			30861	4310dd46-d4c0-4904-b1db-4f02480a64a3	en
In Tabelle 2 ist abgetragen, wie viel Prozent der Befragten in einem Staat keinen fehlenden Wert haben (Spalte 0), einen fehlenden Wert (Spalte 1) usw.	0			20515	d9f242ee-83e7-4031-8a70-52d3ffd84b03	de
East Asian and Oceanian countries show a higher average level of the mobility index, with the exception of Japan and Australia.	1	exploredata-ZA5890_VarEDUCYRS;exploredata-ZA5890_VarSEX;exploredata-ZA5890_VarISCO88;exploredata-ZA5890_VarV70	ZA5890	57227	0766a45e-159d-457f-840c-815f8c97e9fa	en
Der Grund dafür ist, dass wir nicht für jede einzelne Wahl ein möglichst realistisches Modell anstreben, sondern ein Modell, das die wesentlichen Gemeinsamkeiten aller Wahlen erfasst.	0			56981	0ea1ecf2-f47d-4e28-9613-2e203f21893d	de
Wahrgenommene Opportunitätsdifferenzen geben an, ob die Befragten glauben, dass bestimmte Lebensbereiche durch eine Migration verbessert werden könnten: die Arbeitssituation (Karriere); die Partnerschaft bzw. die Möglichkeiten, einen Partner bzw. eine Partnerin zu finden, falls die Befragten z.Zt. keine Paarbeziehung haben; das Familienleben; die Möglichkeiten, persönlichen Interessen nachzugehen.	1	exploredata-ZA4600_VarV669;exploredata-ZA4600_VarV309	ZA4600	34546	226f27cc-7724-4ca8-aabc-fbbb7166e659	de
This shows that it is important for comparative research to make an analytical distinction between the funding and delivery of services.	0			57506	7c1ccdc6-458b-49ca-8a1f-b4fa1b2bbc6e	en
Dieses Modell beruht nicht nur auf Kosten-Nutzen Abwägungen – die im mikroökonomischen Ansatz prominent sind – sondern basiert auch auf psychologischen Konzepten, vor allem auf der Theory of Planned Behaviour und ihren Vorläufern (de Jong/Fawcett 1981; Kalter 1997; Lu 1998) sowie dem neueren Rubikonmodell (Kley 2009, 2011).	1	exploredata-ZA4600_VarV501;exploredata-ZA4600_VarV669	ZA4600	34546	d56df6e1-f178-4e8b-9700-83cc55ff24cf	de
We retrieved the data on electricity prices (unit: kWh per capita) from Eurostat [37].	0			61806	d388d83c-ea1f-4b66-8fdc-a3fcef5758ac	en
Dieser Befund legt nahe, dass die Unterschiede in der ökonomischen Prosperität zwischen den beiden Städten vor allem für Befragte mit mittlerem Qualifikationsniveau bedeutsam sind, jedoch nicht für Hochschulabsolventen.	1	exploredata-ZA4600_VarV173;exploredata-ZA4600_VarV375	ZA4600	34546	b47184c8-1a6a-4995-8853-d40cc50edc5e	de
Innerhalb der einzelnen Länder ist die Entwicklung der Lebenszufriedenheit in dem gemessenen Zeitraum sehr stabil, und auch der Abstand zwischen den Ländern bleibt nahezu konstant.	1	exploredata-ZA2459_Varv19;exploredata-ZA2637_Varisocntry	ZA2637;ZA2459	21312	4d8879b1-65d1-489d-9907-7fb93a0026f1	de
Our research utilized data on attitudes regarding social policy for 17 affluent democracies in 2006 and 12 in both 1996 and 2006.	0			30861	5e7180e5-355f-4aab-8110-d617c37a3c22	en
Sweden (70.4%) and Latvia (15.7%) were highest and lowest in 2015.	1	exploredata-ZA5565_Varqd1;exploredata-ZA6644_Varqa1;exploredata-ZA5565_Varp7lv;exploredata-ZA6644_Varp7se	ZA6644;ZA5565	61598	25839608-d44e-4ae8-9617-f7ae7507d952	en
Es gibt aber Unterschiede in den Konfessionen.	1	exploredata-ZA4600_VarV524;exploredata-ZA4600_VarV114	ZA4600	39445	35c90edf-6ebd-4a65-9a3e-32c234b8dfa4	de
Erstmals wurde diese Praxis für den ALLBUS 1994 angewandt, musste jedoch wegen Finanzierungsproblemen 1998 vorübergehend eingestellt werden.	0			12715	784c5169-8b52-4097-a515-095bfc5fcf4d	de
Ausnahmen hiervon bilden zwei Aufsätze aus den 1980er Jahren (Böltken/ Gehring 1984; Krebs/Hofrichter 1989), deren Autoren beobachten, dass sich die Anteile der Postmaterialisten zwischen verschiedenen zeitnahen Erhebungen in Deutschland erheblich unterscheiden.	0			12715	358081a5-defb-4b7d-ac99-ef50ab36212c	de
Two further reactors are under construction [1].	0			61806	696e8e1a-29b1-4be0-b016-930499cc0039	en
Ein Fragemodul im GESIS-Panel (Mai/Juni 2016) ermöglicht es, dies für verschiedene Migrantengruppen zu untersuchen.	0			51380	d4c2a2ec-2982-49eb-8425-28cc33fe3461	de
Besonders häufig waren dabei Angaben wie „Muslime“oder „Islam“.	1	exploredata-ZA5254_Varanswer	ZA5254	61162	c38d1d6d-f345-4e8d-a55d-b7fcd6f1bd3e	de
Eine ähnliche Position wird auch von Vertretern der These eines Nationalcharakters eingenommen (Inglehart 1995, Inkeles 1988).	0			21312	26205013-468c-4e94-9bd0-a04c1919ad91	de
Befragte, die alle oder die meisten ihrer Verwandten und Freunde am Wohnort haben, denken seltener an einen Wegzug, planen diesen seltener und ziehen tatsächlich seltener weg als andere.	1	exploredata-ZA4600_VarV669;unk	ZA4600	34546	04105ddc-8143-46b9-9be8-a7b94f18a7a2	de
Others have shown that members of a religious minority group who emphasized their inclusive (common- ingroup) identity (e.g., their nation) reported stronger system-justifying attitudes (Jásko and Kossowska, 2013).	1	exploredata-ZA5400_VarRELIGGRP;exploredata-ZA5400_VarV53;exploredata-ZA5400_VarRELIG	ZA5400	73106	5c26c3db-cce2-4adb-a258-5e74771a0b70	en
Seither sind auch die Wahlerfolge in Westdeutschland größer (2005: 4, 9%, 2009: 8, 3%, 2013: 5, 6%); Die Linke ist auch hier in den Kreis der wählbaren Parteien (choice set der Wähler) gerückt.	1	exploredata-ZA5431_VarV350;exploredata-ZA5431_VarV352;exploredata-ZA5431_VarV351;exploredata-ZA5431_VarV349;exploredata-ZA5431_VarV347;exploredata-ZA5431_VarV348	ZA5431	56981	2122b8cc-af9d-468c-9458-00fd5182e0cd	de
Four nuclear reactors have generated half of Slovakia’s electricity.	0			61806	7326657a-e82a-46d3-ba34-22ce6a7677d6	en
Trotz vieler Vorbehalte gegen Zuwanderung sind die geäußerten Einstellungen zur Begrenzung der Zuwanderung allerdings weit weniger restriktiv als noch Mitte der 1990er Jahre.	0			51380	fa409bde-c40c-43c2-a36a-d4d7d88e47e6	de
Our research challenges these claims and ultimately concludes that rising immigration does not undermine the welfare state.	0			30861	df5555e1-8068-43a9-8036-42e5c8133444	en
For one, the particularly low sample size (as in all countries with only one year module see Table 1) means that the results should be interpreted cautiously.	0			57227	2726553a-cb9a-4005-a4f1-6add2be420f2	en
Die frühere BRD und DDR unterschieden sich deutlich bezüglich der Familien- und Arbeitsmarktpolitik, die jeweils eigene patriarchalische Strukturen aufwiesen.	0			39445	aa1f7298-ac0d-442e-bd63-15a3fe80b3c8	de
Merkel übernimmt bei ihrer ersten Kandidatur die Position ihrer Partei, um 2009 und 2013 dann moderater eingestuft zu werden.	1	exploredata-ZA5431_VarV13;exploredata-ZA5431_VarV350;unk;exploredata-ZA5431_VarV352;exploredata-ZA5431_VarV351;exploredata-ZA5431_VarV349;exploredata-ZA5431_VarV347;exploredata-ZA5431_VarV348	ZA5431	56981	40dd62a7-bec1-4a09-ba01-a4f572546f13	de
In Modell 2 in Tabelle 3 werden zwei Interaktionseffekte mit dem Status „arbeitslos“auf die Wahrscheinlichkeit der Migration getestet (vgl. Abb. 1).	0			34546	83421d61-7b66-4f00-adcf-0eaee543ec71	de
The hypothesis was confirmed by the results of the regression analysis (see Table 2).	0			55534	771848a7-5337-47b1-9bed-2e95d6543125	en
However, higher scores in the New Environmental Paradigm (NEP) correlated with slightly more positive attitudes toward nuclear energy [30].	0			61806	bed16b72-a6f9-43d8-8802-9290a8da5755	en
Um den Einfluss der unterschiedlichen Befragten-Zahlen in den einzelnen Jahren konstant zu halten, sind die Regressionen entsprechend gewichtet worden.	0			56981	f87eb578-833b-43cf-a8e6-55d4d2e243c2	de
Furthermore, they are said to sometimes identify more with management than with the labour movement, so that they should be less likely to become union members.	0			34392	69d5d556-3974-4e6b-b8ae-1a471ccd1a99	en
Demgegenüber verringert die Assoziation von Ausländern mit europäischen Einwanderern (basierend auf ihrem jeweiligen Herkunftsland oder ihrer Herkunftsregion) die negative Einstellung gegenüber „Ausländern“in der Umfrage.	1	exploredata-ZA5254_Varanswer	ZA5254	61162	e13ddb2c-5717-4ef1-8bd0-0bdde4d90f2d	de
The absolute error of the pre-election polls is therefore considerably greater than would be expected by a statistically naïve estimation.	0			39802	59d061b2-3c23-4f13-a909-65f439007319	en
Modell 2 in Tabelle 2 zeigt, dass für beide Gruppen der Beschäftigten und für Arbeitslose in Freiburg geringere Chancen geschätzt werden, Migrationsabsichten zu entwickeln als in Magdeburg (siehe Interaktionen).	1	unk;exploredata-ZA4600_VarV219	ZA4600	34546	88d4658f-0402-45a8-bfbb-a7597849807e	de
Repeated surveys draw on a representative sample of the population to describe the typical beliefs held by citizens in a given country and period.	1	exploredata-ZA5890_VarV13	ZA5890	63961	a0b73930-33d7-4c6e-a9c0-711e60543db7	en
Danach werden in Kapitel 4 ausgewählte empirische Befunde zur Wahrnehmung von umweltbezogenen Risiken gesichtet.	1	exploredata-ZA5500_Varv17	ZA5500	51971	aadfcf0d-699b-4e43-8201-6226fe50f0a4	de
Für Gesamtdeutschland ist von 1990 bis 2002 ein Anstieg um fast 2 Prozentpunkte festzustellen (Grafik 1).	0			51380	9726ec73-3d69-4361-abda-dd9a3ed6449e	de
Die Pläne jetzt wieder aufzugeben, wäre teuer, zumindest in psychologischer Hinsicht, so dass erwartet werden kann, dass das Planen eines bestimmten Verhaltens – wie die Stadt zu verlassen – seine Umsetzung sehr wahrscheinlich macht.	0			34546	3aad7da1-8fd5-4029-802d-d5f4bfb4a4e6	de
Hoch gebildete und junge Menschen sind besonders mobil, weil sich ihre Bildungsinvestitionen auszahlen sollen, und weil sie im Falle von Arbeitslosigkeit oder Unterbeschäftigung große Gehaltsausfälle zu erwarten hätten.	1	exploredata-ZA4600_VarV375	ZA4600	34546	e537fd30-e4bc-459b-a46b-1076bc5550fb	de
There are variations across countries.	0			61806	cf5282d8-905b-48c0-b3ec-f7e5941daebc	en
The regression analyses (including the five control variables) were repeated in these three country groups.	0			55534	a17473ba-a7dd-404a-8034-4a6d0ba31d09	en
Therefore Fairlie (1999, 2006) introduced a decomposition method that uses estimates from a probit model.	0			34392	ad6c851d-3be4-4136-8ce2-5f5730ac545b	en
This public opinion data from the International Social Survey Program (ISSP) was linked with information about the stock and flows of immigration in each country.	0			30861	84397302-1384-473c-a1fc-ddfe6f873d9c	en
Auf Länderebene korreliert der Anteil der Arbeitnehmer mit einem hohen subjektiven Arbeitslosenrisiko stark mit der tatsächlichen Arbeitslosenquote (Pearsons R=0, 70), allerdings scheinen auch noch weitere Faktoren eine Rolle zu spielen.	1	exploredata-ZA5566_Varqa8	ZA5566	37769	ffd21d96-3b70-42d8-9935-623b9216c7b8	de
Inthelightofabovearguments, themaingoalofthis study is to clarify the influence of the exposure to European political news on identification with the EU.	1	exploredata-ZA5876_Varqd3_3;exploredata-ZA5876_Varqd2_1;exploredata-ZA5876_Varqd3_2;exploredata-ZA5876_Varqd3_1	ZA5876	55534	d14fcae8-d84b-4959-9ded-97530b4b1fa7	en
Wasserprobleme werden im Gesamtsample eher von weniger gut Ausgebildeten sowie in ländlichen Regionen wahrgenommen.	1	exploredata-ZA5950_VarEDUCYRS;exploredata-ZA5500_Varv17;exploredata-ZA5500_VarURBRURAL	ZA5950;ZA5500	51971	89d21ecb-15bc-4205-a418-768338711192	de
Apart from considerations of union tradition, the individual’s socialization and class consciousness, economic and rational-choice considerations suggest that the rather homogeneous preferences and working conditions ofblue-collar workers make them easier to organize than white-collar workers.	1	exploredata-ZA3700_VarV519;exploredata-ZA3700_VarV233;exploredata-ZA3700_VarV211;exploredata-ZA3700_VarV517	ZA3700	35933	7adf521a-795b-4312-8d79-7be55163ccd9	en
Auch war die Erwerbstätigkeit von Müttern akzeptiert und wurde sowohl staatlich als auch individuell befürwortet und gefördert.	0			39445	79d8538f-ff08-4928-bb93-d55e4040679f	de
In Deutschland ist der Anteil mit 7% vergleichsweise niedrig.	0			37769	0f52cf40-4575-4813-9155-35445199e892	de
