linenumber	v_id	v_label	v_topic	v_question	v_answer
25	v184	PROFITS ARE SHARED FAIRLY IN THE FRG	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
26	v185	INEQUALITY IN FRG NOT FURTHER REDUCIBLE	Social inequality and the welfare state	Here are some opinions about the state and the economy in Germany. Please tell me for each opinion whether you agree completely, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
27	v186	PERSONAL AMBITIONS IN LIFE FULFILLED? 	Social inequality and the welfare state	Now think of your personal situation: All things considered have your ideas of what you wanted to achieve in life been more than fulfilled, fulfilled, not quite fulfilled, not at all fulfilled? 	Not available;More than fulfilled;Fulfilled;Not quite fulfilled;Not at all fulfilled;No answer
28	v200	SUCCESS:DEPENDS ON OWN CLASS POSITION	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
29	v202	SUCCESS:DEPENDS ON OWN EDUCATION 	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
30	v204	DECENT INCOME EVEN WITHOUT ACHIEVEMENT	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
31	v205	INCOME DIFFERENCES INCREASE MOTIVATION 	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
32	v206	DIFFERENCES IN SOCIAL POSITION ACCEPTAB.	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
33	v207	SOCIAL DIFFERENCES ARE JUST	Social inequality and the welfare state	Here is a card with various views on what social differences in Germany are really like and how things should be. Please go through the statements one by one and tell me whether you completely agree, tend to agree, tend to disagree or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
34	v210	SOCIAL BENEFITS: CUT OR EXTEND?	Social inequality and the welfare state	Should social benefits be cut in the future, should things stay as they are, or should social benefits be extended? 	Did not form an opinion;Should be cut;Should be extended;Should stay as they are;No answer
35	v213	RESP.: REDUCE WELFARE MEASURES?	Social inequality and the welfare state	Some people think that the government should provide fewer services, e.g. in areas such as health and education, in order to reduce spending. Other people feel it is important for the government to continue the services it now provides even if it means no reduction in spending. Where would you place yourself on this scale, or haven't you thought much about it? 	Not available;Government should decrease the number of services, reduce spending a lot;Government should continue to provide services, no reduction in spending;Haven't thought much about it;No answer
36	v223	TRUST: JUDICIAL SYSTEM	Confidence in public institutions and organizations	I am now going to read out a number of public institutions and organisations. Please tell me for each institution or organisation how much trust you place in it. Please use this scale. 1 means you have absolutely no trust at all, 7 means you have a great deal of trust. You can differentiate your answers using the numbers in between. What about... 	Not available;Absolutely no trust at all;Trust;A great deal of trust;Don't know;No answer
37	v229	TRUST: POLICE	Confidence in public institutions and organizations	I am now going to read out a number of public institutions and organisations. Please tell me for each institution or organisation how much trust you place in it. Please use this scale. 1 means you have absolutely no trust at all, 7 means you have a great deal of trust. You can differentiate your answers using the numbers in between. What about... 	Not available;Absolutely no trust at all;Trust;A great deal of trust;Don't know;No answer
38	v237	PROUD OF: BASIC LAW 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
39	v238	PROUD OF: GERMAN FEDERAL PARLIAMENT 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
40	v239	PROUD OF: ACHIEVEMENTS OF GERM. ATHLETES 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
41	v240	PROUD OF: ECONOMIC ACHIEVEMENTS 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
42	v241	PROUD OF: GERMAN ART AND LITERATURE 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
43	v242	PROUD OF: SCIENTIFIC ACHIEVEMENTS 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
44	v243	PROUD OF: SOCIAL WELFARE ACHIEVEMENTS 	National pride	If respondent has German citizenship. On these cards you will find a number of things one can be proud of as a German. Please select the three things you are most proud of.	Not selected;Selected;Not proud of any;Foreigner;No answer
45	v247	PROUD TO BE A GERMAN? 	National pride	If respondent has German citizenship. Would you say you are very proud, fairly proud, not very proud or not at all proud to be German?	Not selected;No German citizenship;Very proud;Fairly proud;Not very proud;Not at all proud;No answer
46	v248	IMMIGRATION: ETHNIC GERMANS F EAST EUR.	Ethnocentrism and Minorities	The following questions deal with the entry as immigrants of various groups of people into Germany. What is your opinion about this? 	Not available;Entry should be unrestricted;Entry should be restricted;Entry should be stopped completely;Refused;Don't know;No answer
47	v249	IMMIGRATION: ASYLUM SEEKERS	Ethnocentrism and Minorities	The following questions deal with the entry as immigrants of various groups of people into Germany. What is your opinion about this? 	Not available;Entry should be unrestricted;Entry should be restricted;Entry should be stopped completely;Refused;Don't know;No answer
48	v250	IMMIGRATION: WORKERS FROM EU-COUNTRIES	Ethnocentrism and Minorities	The following questions deal with the entry as immigrants of various groups of people into Germany. What is your opinion about this? 	Not available;Entry should be unrestricted;Entry should be restricted;Entry should be stopped completely;Refused;Don't know;No answer
49	v251	IMMIGRATION: WORKERS FROM NON-EU-COUNTR.	Ethnocentrism and Minorities	The following questions deal with the entry as immigrants of various groups of people into Germany. What is your opinion about this? 	Not available;Entry should be unrestricted;Entry should be restricted;Entry should be stopped completely;Refused;Don't know;No answer
50	v252	DO WORK GERMANS WILL NOT DO 	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
51	v253	FOREIGN.:BURDEN ON SOCIAL WELFARE SYSTEM	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
52	v255	FOREIGNERS: PROBLEMS IN HOUSING MARKET	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
53	v257	FOREIGNERS: TAKE JOBS AWAY FROM GERMANS	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
54	v258	FOREIGNERS: COMMIT CRIMES MORE OFTEN	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
55	v261	NATURALIZATION:SHOULD BE BORN IN GERMANY	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION.	Not available;Not at all important;Important;Very important;No answer
56	v262	NATURALIZATION: SHLD BE OF GERMAN ORIGIN 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
57	v263	NATURALIZATION: SHOULD SPEAK GERMAN 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
58	v264	NATURALIZ: HAS LIVED HERE A LONG TIME 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
59	v265	NATURALIZAT.:ADAPT TO GERMAN WAY OF LIFE 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
60	v266	NATURALIZATION: CHRISTIAN DENOMINATION 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
61	v267	NATURALIZATION: NO CRIMES COMMITTED 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
62	v268	NATURALIZATION: CAN SUPPORT HIMSELF 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
63	v269	NATURALIZATION: ACCEPT BASIC LAW VALUES 	Ethnocentrism and Minorities	I will tell you a few things which may play a role in the decision whether or not to grant German citizenship. Using the scale, please tell me how important these things should be IN YOUR OPINION. 	Not available;Not at all important;Important;Very important;No answer
64	v270	FOREIGN.,GUEST WORKERS: ADAPT MORE 	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
65	v271	FOREIGN.,GUEST W.:LEAVE WHEN JOBS SCARCE 	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
66	v272	FOREIGN.,GUEST W.: NO POLIT. ACTIVITIES	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
67	v273	FOREIGN.,GUEST W.:MARRY AMONG THEMSELVES	Ethnocentrism and Minorities	What about the following statements about the foreigners who live in Germany? Using the scale, please tell me how far you agree with these statements. 1 on the scale means you "completely disagree." 7 on the scale means you "completely agree." You can differentiate your answers using the numbers in between. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
68	v274	FOREIGN.,GUEST W.: CONTACT IN OWN FAMILY	Ethnocentrism and Minorities	Do you have any personal contact with foreigners living in Germany? Specifically... 	Yes;No;No answer
69	v275	FOREIGN.,GUEST W.: CONTACT AT WORK 	Ethnocentrism and Minorities	Do you have any personal contact with foreigners living in Germany? Specifically... 	Yes;No;No answer
70	v276	FOREIGN.,GUEST W.:CONTACT I.NEIGHBORHOOD	Ethnocentrism and Minorities	Do you have any personal contact with foreigners living in Germany? Specifically... 	Yes;No;No answer
71	v277	FOREIGN.,GUEST W.: CONTACT AMONG FRIENDS	Ethnocentrism and Minorities	Do you have any personal contact with foreigners living in Germany? Specifically... 	Yes;No;No answer
72	v278	OPINION ON DUAL CITIZENSHIP 	Ethnocentrism and Minorities	Using the scale on the card, please indicate the extent to which you agree with each statement. 	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
73	v286	HOW MANY FOREIGNERS IN NEIGHBORHOOD 	Ethnocentrism and Minorities	How many foreigners or foreign families live in your neighborhood?	MOSTLY foreigners live here;A LOT OF foreigners live here;SOME foreigners live here;NO or VIRTUALLY NO foreigners live here;No answer
74	v287	DIFFER.I LIFESTYLE: ITALIANS IN GERMANY	Ethnocentrism and Minorities	On the card are various groups of people. I would now like to ask you some questions about people belonging to these groups who live in Germany. How strongly, in your opinion, do the members of these groups who live in Germany differ from Germans in their lifestyles? Please answer using the scale on the card. 	Not available;Not at all;Very strongly;Don't know;No answer
75	v288	DIFFER.I LIFESTYLE:ETHNIC GERMANS F EAST	Ethnocentrism and Minorities	On the card are various groups of people. I would now like to ask you some questions about people belonging to these groups who live in Germany. How strongly, in your opinion, do the members of these groups who live in Germany differ from Germans in their lifestyles? Please answer using the scale on the card. 	Not available;Not at all;Very strongly;Don't know;No answer
76	v289	DIFFER.I LIFESTYLE: ASYLUM SEEKERS	Ethnocentrism and Minorities	On the card are various groups of people. I would now like to ask you some questions about people belonging to these groups who live in Germany. How strongly, in your opinion, do the members of these groups who live in Germany differ from Germans in their lifestyles? Please answer using the scale on the card. 	Not available;Not at all;Very strongly;Don't know;No answer
77	v290	DIFFER.I LIFESTYLE: TURKS IN GERMANY 	Ethnocentrism and Minorities	On the card are various groups of people. I would now like to ask you some questions about people belonging to these groups who live in Germany. How strongly, in your opinion, do the members of these groups who live in Germany differ from Germans in their lifestyles? Please answer using the scale on the card. 	Not available;Not at all;Very strongly;Don't know;No answer
78	v291	DIFFER.I LIFESTYLE: JEWS IN GERMANY 	Ethnocentrism and Minorities	On the card are various groups of people. I would now like to ask you some questions about people belonging to these groups who live in Germany. How strongly, in your opinion, do the members of these groups who live in Germany differ from Germans in their lifestyles? Please answer using the scale on the card. 	Not available;Not at all;Very strongly;Don't know;No answer
79	v293	HOW PLEASANT: ETHNIC GERMANS F EAST EUR 	Ethnocentrism and Minorities	How pleasant or unpleasant would it be for you to have members of these groups as neighbors? -3 on the scale means 'would be very unpleasant for me', +3 on the scale means 'would be very pleasant for me'. You can differentiate your answers using the numbers in between. 	Not available;Not at all;Very strongly;Don't know;No answer
80	v295	HOW PLEASANT AS NEIGHBOR: TURKS	Ethnocentrism and Minorities	How pleasant or unpleasant would it be for you to have members of these groups as neighbors? -3 on the scale means 'would be very unpleasant for me', +3 on the scale means 'would be very pleasant for me'. You can differentiate your answers using the numbers in between. 	Not available;-3 Would be very unpleasant;+3 Would be very pleasant;No answer
81	v297	MARRIAGE INTO OWN FAMILY: ITALIANS 	Ethnocentrism and Minorities	And what if a member of one of these groups married into your family? How far would that be pleasant or unpleasant for you? 	Not available;-3 Would be very unpleasant;+3 Would be very pleasant;No answer
82	v298	MARRIAGE IN FAMILY:ETHNIC GERMANS F EAST	Ethnocentrism and Minorities	And what if a member of one of these groups married into your family? How far would that be pleasant or unpleasant for you? 	Not available;-3 Would be very unpleasant;+3 Would be very pleasant;No answer
83	v300	MARRIAGE INTO OWN FAMILY: TURKS S	Ethnocentrism and Minorities	And what if a member of one of these groups married into your family? How far would that be pleasant or unpleasant for you? 	Not available;-3 Would be very unpleasant;+3 Would be very pleasant;No answer
84	v303	SAME RIGHTS: ETHNIC GERMANS F EAST EUR 	Ethnocentrism and Minorities	Should the members of these groups who live in Germany have the same rights as Germans in every respect? Please tell me for each of the statements on the card how far you agree or disagree.	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
85	v311	AGREE: STRANGER IN ONES OWN COUNTRY 	Ethnocentrism and Minorities	With so many foreigners in Germany, one feels increasingly like a stranger in one's own country.	Not available;Completely disagree;Disagree;Indifferent;Agree;Completely agree;No answer
86	v321	IDENTIFICATION WITH OWN COMMUNITY 	Identification with various political entities	Now we would like to know how strongly you identify with your own town (community) and its inhabitants. Please use the card for your answers.	Not available;Very strong identification;Pretty strong identification;Only weak identification;No identification at all;Don't know;No answer
87	v322	IDENTIFICATION WITH FEDERAL STATE 	Identification with various political entities	Now we would like to know how strongly you identify with your own town (community) and its inhabitants. Please use the card for your answers.	Not available;Very strong identification;Pretty strong identification;Only weak identification;No identification at all;Don't know;No answer
88	v325	IDENTIFICATION WITH GERMANY AS A WHOLE 	Identification with various political entities	Now we would like to know how strongly you identify with your own town (community) and its inhabitants. Please use the card for your answers.	Not available;Very strong identification;Pretty strong identification;Only weak identification;No identification at all;Don't know;No answer
89	v328	MARRIAGE AFTER LIVING TOGETHER PERMANENT	Attitudes towards marriage, family and partnership	Do you think one should get married if one is living with a partner on a permanent basis? 	Not applicable;Yes;No;Undecided;Don't know;No answer
90	v329	REASON FOR MARRIAGE: CHILD	Attitudes towards marriage, family and partnership	And what if there is a child? Do you think one should get married then? 	Not applicable;Yes;No;Undecided;Don't know;No answer
91	v331	WORKING WOMAN:WARM RELATION TO CHILD OK	Attitudes towards marriage, family and partnership	People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
92	v332	WIFE:IMP.TO HELP HUSBAND WITH HIS CAREER	Attitudes towards marriage, family and partnership	People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
93	v333	WORKING WOMAN: SMALL CHILD SUFFERS 	Attitudes towards marriage, family and partnership	People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
94	v334	WIFE:BETTER STAY HOME+LOOK AFTER FAMILY	Attitudes towards marriage, family and partnership	 People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
95	v335	WORKING WOMAN: BETTER MOTHER FOR CHILD	Attitudes towards marriage, family and partnership	 People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
96	v336	WIFE: SHOULD GIVE UP WORK AFTER MARRIAGE	Attitudes towards marriage, family and partnership	 People have different opinions about the role of women in the family and in bringing up children. For each of the statements on the card, please tell me whether you completely agree, tend to agree, tend to disagree, or completely disagree. 	Not available;Completely agree;Tend to agree;Tend to disagree;Completely disagree;Don't know;No answer
97	v380	ABORTION:MARR.WOMAN DONT WANT MORE CHILD	Attitudes towards abortion	Please tell me whether in your opinion a woman should be permitted to have an abortion or not... 	Not available;Yes, should be permitted at any time during the pregnancy;Yes, should be permitted during the first three months of pregnancy;No, should not be permitted at all;Don't know;No answer
